model,test,book,characters,errors,insertions,deletions,substitutions,arabic_count,arabic_missed
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,sbzb_ms_or_oct_241,1213,130,42,14,74,1012,90
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,sbzb_ms_or_oct_372,1868,231,118,26,87,1510,134
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,sbzb_ms_or_oct_952,3231,1750,1504,36,210,2374,1223
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,sbzb_wetzstein_i_148,2905,340,189,43,108,2359,182
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,sbzb_wetzstein_ii_1717,3095,230,92,53,85,2613,164
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,staatsbibliotek_zu_berlin_hs_or_8330,26,20,3,14,3,21,5
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,staatsbibliothek_zu_berlin_hs_or,3847,2490,2226,32,232,2863,1868
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,staatsbibliothek_zu_berlin_hs_or_14071,2550,834,545,103,186,2053,638
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,staatsbibliothek_zu_berlin_hs_or_8299,1768,511,318,79,114,1420,356
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,staatsbibliothek_zu_berlin_hs_or_9821,3186,1042,585,123,334,2550,794
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,szb_landberg_83,4959,309,86,88,135,4139,187
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,u_penn_cajs_rar_ms_207,2310,584,317,102,165,1782,330
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,u_penn_ljs_387,6469,923,337,162,424,5361,694
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,u_penn_ms_codex_44,1132,122,55,13,54,944,89
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,university_of_michigan_isl_ms_12,8972,779,325,249,205,7479,484
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,university_of_michigan_isl_ms_22,10429,1407,621,247,539,8588,997
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,university_of_michigan_isl_ms_251,3278,537,257,47,233,2727,421
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,university_of_michigan_isl_ms_28,2158,379,200,40,139,1820,277
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,university_of_michigan_isl_ms_308,2815,638,392,102,144,2261,464
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,university_of_michigan_isl_ms_31,3797,1513,1142,83,288,2924,1147
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,university_of_michigan_isl_ms_40,5580,2130,1137,240,753,4466,1674
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,university_of_michigan_isl_ms_509,3558,406,192,53,161,2923,245
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,university_of_michigan_isl_ms_895,2528,774,435,112,227,2028,568
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,walters_museum_of_art_w_617,2235,653,388,98,167,1811,490
pdf-gen1-print-n7m5-nall-ft_best,acdc_mss,walters_museum_of_art_w_619,1699,678,449,75,154,1363,523
pdf-gen1-print-n7m5-nall-ft_best,aocp_ms_eval,astan_quds_5643,3823,808,206,62,540,3118,687
pdf-gen1-print-n7m5-nall-ft_best,aocp_ms_eval,bl_arundel_or_41,1108,364,124,81,159,850,182
pdf-gen1-print-n7m5-nall-ft_best,aocp_ms_eval,bnf_supplement_turc_984,1349,613,363,48,202,1088,477
pdf-gen1-print-n7m5-nall-ft_best,aocp_ms_eval,bsb_cod_arab_1071,839,214,76,15,123,692,170
pdf-gen1-print-n7m5-nall-ft_best,aocp_ms_eval,bsb_cod_arab_463,2480,111,63,18,30,2053,79
pdf-gen1-print-n7m5-nall-ft_best,aocp_ms_eval,chester_beatty_ar_3838,820,296,161,7,128,666,244
pdf-gen1-print-n7m5-nall-ft_best,aocp_ms_eval,columbia_ms_or_150,1171,197,92,49,56,957,103
pdf-gen1-print-n7m5-nall-ft_best,aocp_ms_eval,columbia_ms_or_26,1343,238,140,19,79,1061,158
pdf-gen1-print-n7m5-nall-ft_best,aocp_ms_eval,forschungsbibliothek_gotha_ms_orient_a_102,1873,412,244,38,130,1547,328
pdf-gen1-print-n7m5-nall-ft_best,aocp_ms_eval,gotha_ms_orient_a_1632,1063,152,89,14,49,902,126
pdf-gen1-print-n7m5-nall-ft_best,aocp_ms_eval,gotha_ms_orient_a_2435,669,104,33,23,48,561,74
pdf-gen1-print-n7m5-nall-ft_best,aocp_ms_eval,gotha_ms_orient_p_35,2660,647,328,56,263,2050,431
pdf-gen1-print-n7m5-nall-ft_best,aocp_ms_eval,heidelberg_cod_orient_148,671,58,22,5,31,552,46
pdf-gen1-print-n7m5-nall-ft_best,aocp_ms_eval,jarring_prov_2,123,62,34,3,25,95,43
pdf-gen1-print-n7m5-nall-ft_best,aocp_ms_eval,jarring_prov_36,136,64,50,1,13,115,54
pdf-gen1-print-n7m5-nall-ft_best,aocp_ms_eval,leiden_or_775,513,164,86,22,56,444,132
pdf-gen1-print-n7m5-nall-ft_best,aocp_ms_eval,leiden_university_or_1094,569,153,74,20,59,469,115
