model,test,book,characters,errors,insertions,deletions,substitutions,arabic_count,arabic_missed
pdf-print-n7m5-n1000-ft_best,acdc_mss,druze_bsb_codarab_230_163r_164r,1991,424,126,144,154,1578,178
pdf-print-n7m5-n1000-ft_best,acdc_mss,druze_bsb_codarab_230_164r,268,39,13,5,21,213,20
pdf-print-n7m5-n1000-ft_best,acdc_mss,druze_bsb_codarab_230_164v,416,68,30,16,22,333,34
pdf-print-n7m5-n1000-ft_best,acdc_mss,druze_bsb_codarab_230_165r,905,206,96,12,98,698,114
pdf-print-n7m5-n1000-ft_best,acdc_mss,druze_bsb_codarab_230_40v_42r,2513,480,183,93,204,1990,246
pdf-print-n7m5-n1000-ft_best,acdc_mss,druze_bsb_codarab_230_78v_79v,1702,229,105,31,93,1347,111
pdf-print-n7m5-n1000-ft_best,acdc_mss,druze_bsb_codarab_230_80v_81r,655,117,56,11,50,518,53
pdf-print-n7m5-n1000-ft_best,acdc_mss,druze_princeton_garrett_no_371b_61v-57r,2398,533,315,58,160,2003,407
pdf-print-n7m5-n1000-ft_best,acdc_mss,druze_sbb_landberg_212_122v_126v,2993,692,438,36,218,2282,326
pdf-print-n7m5-n1000-ft_best,acdc_mss,druze_sbb_lbg_210_220v_229v,5373,764,410,88,266,4289,305
pdf-print-n7m5-n1000-ft_best,acdc_mss,druze_sbb_oroct224_145v_146v,844,150,74,18,58,666,70
pdf-print-n7m5-n1000-ft_best,acdc_mss,druze_sbb_oroct_162_103v_104r,556,160,84,16,60,439,107
pdf-print-n7m5-n1000-ft_best,acdc_mss,druze_sbb_oroct_224_123v126v,2002,414,246,27,141,1549,213
pdf-print-n7m5-n1000-ft_best,acdc_mss,druze_sbb_oroct_224_126v135v,5433,1266,664,102,500,4276,708
pdf-print-n7m5-n1000-ft_best,acdc_mss,druze_sbb_oroct_224_136r_137v,1150,196,129,11,56,894,87
pdf-print-n7m5-n1000-ft_best,acdc_mss,druze_sbb_oroct_224_146v_149v,1579,294,182,18,94,1214,130
pdf-print-n7m5-n1000-ft_best,acdc_mss,druze_sbb_wetzstein_ii_230_38r_4,3110,453,329,40,84,2454,169
pdf-print-n7m5-n1000-ft_best,acdc_mss,druze_sbb_wetzstein_ii_230_43r_4,1895,336,205,34,97,1478,142
pdf-print-n7m5-n1000-ft_best,acdc_mss,druze_sbb_wetzstein_ii_230_46r_4,1691,262,176,17,69,1312,90
pdf-print-n7m5-n1000-ft_best,acdc_mss,druze_sbb_wetzstein_ii_230_48v_4,391,80,55,11,14,307,30
pdf-print-n7m5-n1000-ft_best,acdc_mss,druze_sbb_wetzstein_ii_230_70v_7,1873,299,184,22,93,1431,95
pdf-print-n7m5-n1000-ft_best,acdc_mss,druze_vatican_ar1342_103r_118r,6307,904,270,245,389,5408,568
pdf-print-n7m5-n1000-ft_best,acdc_mss,druze_vatican_ar1342_11v_13r,917,195,93,25,77,716,106
pdf-print-n7m5-n1000-ft_best,acdc_mss,druze_vatican_ar1342_14r_15v,846,188,89,25,74,663,88
pdf-print-n7m5-n1000-ft_best,acdc_mss,druze_vatican_ar1342_17r_20r,1974,349,162,63,124,1585,144
pdf-print-n7m5-n1000-ft_best,acdc_mss,druze_vatican_ar1342_20v_33r,5825,1269,639,131,499,4531,592
pdf-print-n7m5-n1000-ft_best,acdc_mss,druze_vatican_ar1342_3r_6v,1816,299,147,50,102,1451,129
pdf-print-n7m5-n1000-ft_best,acdc_mss,druze_vatican_ar1342_6v_8v,1131,230,94,38,98,906,120
pdf-print-n7m5-n1000-ft_best,acdc_mss,druze_vatican_ar1342_9r_11v,1331,273,131,31,111,1050,116
pdf-print-n7m5-n1000-ft_best,acdc_mss,fatih_2553,3914,476,195,89,192,3272,340
pdf-print-n7m5-n1000-ft_best,acdc_mss,hafiz_divan_umich_ms_319,7029,4545,3379,96,1070,5600,3798
pdf-print-n7m5-n1000-ft_best,acdc_mss,leipzig_b_or_156_01,3329,639,288,114,237,2815,472
pdf-print-n7m5-n1000-ft_best,acdc_mss,leipzig_b_or_252,4959,1312,722,156,434,4176,1038
pdf-print-n7m5-n1000-ft_best,acdc_mss,leipzig_ms_gabelentz_60,5431,538,288,100,150,4390,225
pdf-print-n7m5-n1000-ft_best,acdc_mss,leipzig_vollers_121,2571,995,628,69,298,2196,849
pdf-print-n7m5-n1000-ft_best,acdc_mss,leipzig_vollers_879,35836,3527,1245,919,1363,29997,2339
pdf-print-n7m5-n1000-ft_best,acdc_mss,lewis_o_27,8289,1601,852,161,588,6605,1009
pdf-print-n7m5-n1000-ft_best,acdc_mss,lewis_o_75,,,,,,,
pdf-print-n7m5-n1000-ft_best,acdc_mss,library_of_congress_pk6450,3497,1449,702,269,478,2819,1039
pdf-print-n7m5-n1000-ft_best,acdc_mss,ms_gabelentz_52,1747,97,37,23,37,1465,67
pdf-print-n7m5-n1000-ft_best,acdc_mss,nat_lib_israel_ms_ar_4,1183,227,100,63,64,950,121
pdf-print-n7m5-n1000-ft_best,acdc_mss,national_library_of_israel_ms_yahya_ar_862,2686,511,177,76,258,2243,392
pdf-print-n7m5-n1000-ft_best,acdc_mss,princeton_garrett_no_1000y,625,228,138,18,72,521,190
pdf-print-n7m5-n1000-ft_best,acdc_mss,princeton_garrett_no_1356y,2382,381,181,56,144,1991,262
pdf-print-n7m5-n1000-ft_best,acdc_mss,princeton_garrett_no_1585y,1095,176,71,18,87,893,122
pdf-print-n7m5-n1000-ft_best,acdc_mss,princeton_islamic_manuscripts_garett_no_62,2455,1749,1511,12,226,1846,1334
pdf-print-n7m5-n1000-ft_best,acdc_mss,sbzb_glaser_132,1276,110,48,14,48,1078,84
pdf-print-n7m5-n1000-ft_best,acdc_mss,sbzb_glaser_133,1022,157,64,25,68,859,123
pdf-print-n7m5-n1000-ft_best,acdc_mss,sbzb_glaser_33,23177,1960,900,494,566,18726,723
pdf-print-n7m5-n1000-ft_best,acdc_mss,sbzb_hs_or_13940,1127,392,180,48,164,952,310
pdf-print-n7m5-n1000-ft_best,acdc_mss,sbzb_hs_or_14189,1987,286,137,28,121,1608,183
pdf-print-n7m5-n1000-ft_best,acdc_mss,sbzb_hs_or_14190,2906,908,408,122,378,2363,713
pdf-print-n7m5-n1000-ft_best,acdc_mss,sbzb_hs_or_14192,1805,247,132,20,95,1450,152
pdf-print-n7m5-n1000-ft_best,acdc_mss,sbzb_hs_or_14194,1884,261,122,31,108,1511,153
pdf-print-n7m5-n1000-ft_best,acdc_mss,sbzb_hs_or_14299,1781,222,119,20,83,1439,136
pdf-print-n7m5-n1000-ft_best,acdc_mss,sbzb_hs_or_14308,1078,135,69,14,52,855,68
pdf-print-n7m5-n1000-ft_best,acdc_mss,sbzb_hs_or_14309,2452,479,169,62,248,2021,380
pdf-print-n7m5-n1000-ft_best,acdc_mss,sbzb_hs_or_8524,1037,223,96,37,90,850,152
pdf-print-n7m5-n1000-ft_best,acdc_mss,sbzb_hs_or_9772,1878,272,165,12,95,1503,165
pdf-print-n7m5-n1000-ft_best,acdc_mss,sbzb_landberg_97,2608,178,84,43,51,2107,74
pdf-print-n7m5-n1000-ft_best,acdc_mss,sbzb_ms_or_fol_215,7017,1474,499,386,589,5851,991
pdf-print-n7m5-n1000-ft_best,acdc_mss,sbzb_ms_or_fol_913,,,,,,,
pdf-print-n7m5-n1000-ft_best,acdc_mss,sbzb_ms_or_oct_1228,1750,816,385,64,367,1458,661
pdf-print-n7m5-n1000-ft_best,acdc_mss,sbzb_ms_or_oct_1790,1488,272,130,33,109,1233,211
pdf-print-n7m5-n1000-ft_best,acdc_mss,sbzb_ms_or_oct_241,1213,244,73,31,140,1012,175
pdf-print-n7m5-n1000-ft_best,acdc_mss,sbzb_ms_or_oct_372,1868,301,143,39,119,1510,183
pdf-print-n7m5-n1000-ft_best,acdc_mss,sbzb_ms_or_oct_952,3231,1941,1573,37,331,2374,1383
pdf-print-n7m5-n1000-ft_best,acdc_mss,sbzb_wetzstein_i_148,2905,410,220,50,140,2359,231
pdf-print-n7m5-n1000-ft_best,acdc_mss,sbzb_wetzstein_ii_1717,3095,297,122,65,110,2613,214
pdf-print-n7m5-n1000-ft_best,acdc_mss,staatsbibliotek_zu_berlin_hs_or_8330,26,21,0,12,9,21,9
pdf-print-n7m5-n1000-ft_best,acdc_mss,staatsbibliothek_zu_berlin_hs_or,3847,2459,1958,30,471,2863,1853
pdf-print-n7m5-n1000-ft_best,acdc_mss,staatsbibliothek_zu_berlin_hs_or_14071,2550,1059,686,93,280,2053,834
pdf-print-n7m5-n1000-ft_best,acdc_mss,staatsbibliothek_zu_berlin_hs_or_8299,1768,616,347,83,186,1420,446
pdf-print-n7m5-n1000-ft_best,acdc_mss,staatsbibliothek_zu_berlin_hs_or_9821,3186,1250,716,113,421,2550,980
pdf-print-n7m5-n1000-ft_best,acdc_mss,szb_landberg_83,4959,414,134,98,182,4139,256
pdf-print-n7m5-n1000-ft_best,acdc_mss,u_penn_cajs_rar_ms_207,2310,689,369,111,209,1782,406
pdf-print-n7m5-n1000-ft_best,acdc_mss,u_penn_ljs_387,6469,1291,481,198,612,5361,981
pdf-print-n7m5-n1000-ft_best,acdc_mss,u_penn_ms_codex_44,1132,115,40,16,59,944,83
pdf-print-n7m5-n1000-ft_best,acdc_mss,university_of_michigan_isl_ms_12,8972,1049,327,290,432,7479,688
pdf-print-n7m5-n1000-ft_best,acdc_mss,university_of_michigan_isl_ms_22,10429,2006,757,288,961,8588,1491
pdf-print-n7m5-n1000-ft_best,acdc_mss,university_of_michigan_isl_ms_251,3278,759,335,57,367,2727,625
pdf-print-n7m5-n1000-ft_best,acdc_mss,university_of_michigan_isl_ms_28,2158,491,232,61,198,1820,372
pdf-print-n7m5-n1000-ft_best,acdc_mss,university_of_michigan_isl_ms_308,2815,848,512,108,228,2261,643
pdf-print-n7m5-n1000-ft_best,acdc_mss,university_of_michigan_isl_ms_31,3797,1812,1280,55,477,2924,1399
pdf-print-n7m5-n1000-ft_best,acdc_mss,university_of_michigan_isl_ms_40,5580,2475,1217,267,991,4466,1975
pdf-print-n7m5-n1000-ft_best,acdc_mss,university_of_michigan_isl_ms_509,3558,488,211,57,220,2923,316
pdf-print-n7m5-n1000-ft_best,acdc_mss,university_of_michigan_isl_ms_895,2528,921,480,113,328,2028,710
pdf-print-n7m5-n1000-ft_best,acdc_mss,walters_museum_of_art_w_617,2235,839,475,94,270,1811,669
pdf-print-n7m5-n1000-ft_best,acdc_mss,walters_museum_of_art_w_619,1699,790,488,87,215,1363,606
pdf-print-n7m5-n1000-ft_best,aocp_ms_eval,astan_quds_5643,3823,871,242,74,555,3118,738
pdf-print-n7m5-n1000-ft_best,aocp_ms_eval,bl_arundel_or_41,1108,443,165,101,177,850,226
pdf-print-n7m5-n1000-ft_best,aocp_ms_eval,bnf_supplement_turc_984,1349,596,263,70,263,1088,448
pdf-print-n7m5-n1000-ft_best,aocp_ms_eval,bsb_cod_arab_1071,839,242,64,28,150,692,192
pdf-print-n7m5-n1000-ft_best,aocp_ms_eval,bsb_cod_arab_463,2480,116,37,32,47,2053,69
pdf-print-n7m5-n1000-ft_best,aocp_ms_eval,chester_beatty_ar_3838,820,329,139,17,173,666,269
pdf-print-n7m5-n1000-ft_best,aocp_ms_eval,columbia_ms_or_150,1171,244,127,57,60,957,139
pdf-print-n7m5-n1000-ft_best,aocp_ms_eval,columbia_ms_or_26,1343,284,133,25,126,1061,207
pdf-print-n7m5-n1000-ft_best,aocp_ms_eval,forschungsbibliothek_gotha_ms_orient_a_102,1873,480,202,56,222,1547,395
pdf-print-n7m5-n1000-ft_best,aocp_ms_eval,gotha_ms_orient_a_1632,1063,148,38,21,89,902,120
pdf-print-n7m5-n1000-ft_best,aocp_ms_eval,gotha_ms_orient_a_2435,669,129,33,30,66,561,89
pdf-print-n7m5-n1000-ft_best,aocp_ms_eval,gotha_ms_orient_p_35,2660,773,306,113,354,2050,518
pdf-print-n7m5-n1000-ft_best,aocp_ms_eval,heidelberg_cod_orient_148,671,85,26,8,51,552,67
pdf-print-n7m5-n1000-ft_best,aocp_ms_eval,jarring_prov_2,123,64,22,9,33,95,40
pdf-print-n7m5-n1000-ft_best,aocp_ms_eval,jarring_prov_36,136,88,60,4,24,115,76
pdf-print-n7m5-n1000-ft_best,aocp_ms_eval,leiden_or_775,513,170,64,27,79,444,129
pdf-print-n7m5-n1000-ft_best,aocp_ms_eval,leiden_university_or_1094,569,159,85,20,54,469,121
pdf-print-n7m5-n1000-ft_best,aocp_ms_eval,leipzig_b_or_230b,1407,279,107,43,129,1153,202
pdf-print-n7m5-n1000-ft_best,aocp_ms_eval,leipzig_cod_turc_104,3490,680,291,179,210,3010,468
pdf-print-n7m5-n1000-ft_best,aocp_ms_eval,leipzig_vollers_110,1307,203,50,41,112,1090,153
pdf-print-n7m5-n1000-ft_best,aocp_ms_eval,leipzig_vollers_226,1787,270,140,39,91,1425,123
pdf-print-n7m5-n1000-ft_best,aocp_ms_eval,leipzig_vollers_393,717,65,25,14,26,601,36
pdf-print-n7m5-n1000-ft_best,aocp_ms_eval,leipzig_vollers_656,967,219,101,24,94,809,177
pdf-print-n7m5-n1000-ft_best,aocp_ms_eval,leipzig_vollers_659,1119,248,114,26,108,897,178
pdf-print-n7m5-n1000-ft_best,aocp_ms_eval,leipzig_vollers_686,1738,160,50,26,84,1438,116
pdf-print-n7m5-n1000-ft_best,aocp_ms_eval,leipzig_vollers_778,1302,211,50,34,127,1091,160
pdf-print-n7m5-n1000-ft_best,aocp_ms_eval,leipzig_vollers_832,1302,361,110,63,188,1089,272
pdf-print-n7m5-n1000-ft_best,aocp_ms_eval,mcgill_manuscript_40,1411,147,37,21,89,1178,121
pdf-print-n7m5-n1000-ft_best,aocp_ms_eval,michigan_isl_ms_193,1743,433,222,56,155,1444,350
pdf-print-n7m5-n1000-ft_best,aocp_ms_eval,michigan_isl_ms_353,985,354,216,21,117,778,278
pdf-print-n7m5-n1000-ft_best,aocp_ms_eval,michigan_isl_ms_691_1,1207,182,75,30,77,993,121
pdf-print-n7m5-n1000-ft_best,aocp_ms_eval,michigan_isl_ms_943,788,115,34,19,62,652,84
pdf-print-n7m5-n1000-ft_best,aocp_ms_eval,national_library_of_israel_ms_ar_497,1886,194,103,28,63,1555,147
pdf-print-n7m5-n1000-ft_best,aocp_ms_eval,national_library_of_israel_ms_yah_ar_256,1071,186,81,23,82,899,149
pdf-print-n7m5-n1000-ft_best,aocp_ms_eval,princeton_garrett_no_1393Yy,1158,266,111,29,126,940,182
pdf-print-n7m5-n1000-ft_best,aocp_ms_eval,princeton_garrett_no_1856Y,1013,253,108,32,113,806,188
pdf-print-n7m5-n1000-ft_best,aocp_ms_eval,princeton_garrett_no_302b,1203,263,79,49,135,976,180
pdf-print-n7m5-n1000-ft_best,aocp_ms_eval,princeton_garrett_no_556h,1809,389,96,81,212,1484,278
pdf-print-n7m5-n1000-ft_best,aocp_ms_eval,princeton_garrett_no_900h,1177,212,87,18,107,942,165
pdf-print-n7m5-n1000-ft_best,aocp_ms_eval,princeton_isl_ms_garrett_no_131w,1214,414,187,45,182,951,330
pdf-print-n7m5-n1000-ft_best,aocp_ms_eval,princeton_isl_ms_garrett_no_1454y,1199,222,92,40,90,956,149
pdf-print-n7m5-n1000-ft_best,aocp_ms_eval,princeton_isl_ms_new_series_no_544,2212,670,323,59,288,1721,523
pdf-print-n7m5-n1000-ft_best,aocp_ms_eval,princeton_new_series_no_1010,1521,572,227,79,266,1246,437
pdf-print-n7m5-n1000-ft_best,aocp_ms_eval,princeton_new_series_no_1537,1239,211,105,29,77,1015,160
pdf-print-n7m5-n1000-ft_best,aocp_ms_eval,princeton_new_series_no_1715,1647,355,144,63,148,1351,252
pdf-print-n7m5-n1000-ft_best,aocp_ms_eval,princeton_new_series_no_202q_oversize,2064,428,224,47,157,1591,274
pdf-print-n7m5-n1000-ft_best,aocp_ms_eval,princeton_new_series_no_2030,843,139,42,24,73,709,106
pdf-print-n7m5-n1000-ft_best,aocp_ms_eval,rbsc_islam_ms_isl_0097,2235,472,222,67,183,1736,288
pdf-print-n7m5-n1000-ft_best,aocp_ms_eval,rbsc_ms_bw_ivanow_0157,1531,519,274,48,197,1185,377
pdf-print-n7m5-n1000-ft_best,aocp_ms_eval,sbb_glaser_96,1768,483,150,58,275,1460,370
pdf-print-n7m5-n1000-ft_best,aocp_ms_eval,sbb_sprenger_275,911,249,90,15,144,763,223
pdf-print-n7m5-n1000-ft_best,aocp_ms_eval,sbzb_diez_a_quart_67,1608,392,137,69,186,1345,297
pdf-print-n7m5-n1000-ft_best,aocp_ms_eval,sbzb_diez_a_quart_95,804,178,45,15,118,673,159
pdf-print-n7m5-n1000-ft_best,aocp_ms_eval,sbzb_glaser_18,1677,328,117,30,181,1332,227
pdf-print-n7m5-n1000-ft_best,aocp_ms_eval,sbzb_landberg_232,2088,198,58,34,106,1720,147
pdf-print-n7m5-n1000-ft_best,aocp_ms_eval,sbzb_ms_or_fol_4181,2007,725,333,93,299,1608,538
pdf-print-n7m5-n1000-ft_best,aocp_ms_eval,sbzb_ms_or_oct_265,1609,426,220,39,167,1302,345
pdf-print-n7m5-n1000-ft_best,aocp_ms_eval,sbzb_ms_or_oct_38,1728,391,212,54,125,1377,277
pdf-print-n7m5-n1000-ft_best,aocp_ms_eval,sbzb_ms_or_quart_98,1860,237,73,34,130,1544,181
pdf-print-n7m5-n1000-ft_best,aocp_ms_eval,sbzb_petermann_ii_446,1584,165,64,36,65,1297,92
pdf-print-n7m5-n1000-ft_best,aocp_ms_eval,sbzb_schoemann_v_5,1087,274,80,42,152,899,216
pdf-print-n7m5-n1000-ft_best,aocp_ms_eval,sbzb_wetzstein_ii_1114,2236,397,150,48,199,1844,330
pdf-print-n7m5-n1000-ft_best,aocp_ms_eval,sbzb_wetzstein_ii_1689,,,,,,,
pdf-print-n7m5-n1000-ft_best,aocp_ms_eval,sbzb_wetzstein_ii_1704,2267,312,91,76,145,1863,203
pdf-print-n7m5-n1000-ft_best,aocp_ms_eval,sbzb_wetzstein_ii_289,1343,254,73,14,167,1118,214
pdf-print-n7m5-n1000-ft_best,aocp_ms_eval,slub_mscr_dresd_ea_84,,,,,,,
pdf-print-n7m5-n1000-ft_best,aocp_ms_eval,tubingen_ma_vi_30,1436,332,139,35,158,1169,250
pdf-print-n7m5-n1000-ft_best,aocp_ms_eval,tubingen_ma_vi_42,1488,214,66,38,110,1245,153
pdf-print-n7m5-n1000-ft_best,aocp_ms_eval,tubingen_ma_vi_83,2075,174,43,34,97,1724,136
pdf-print-n7m5-n1000-ft_best,aocp_ms_eval,tubingen_ma_vii_132,794,205,77,38,90,637,137
pdf-print-n7m5-n1000-ft_best,aocp_ms_eval,tubingen_ma_vii_72,1179,210,68,40,102,996,152
pdf-print-n7m5-n1000-ft_best,aocp_ms_eval,tubingen_ma_viii_106,1361,205,88,40,77,1160,155
pdf-print-n7m5-n1000-ft_best,aocp_ms_eval,tuebingen_ma_vi_141,1202,280,114,34,132,984,223
pdf-print-n7m5-n1000-ft_best,aocp_ms_eval,uppsala_o_vet_60,524,191,82,32,77,446,144
pdf-print-n7m5-n1000-ft_best,aocp_ms_eval,vieac_10314,718,699,692,0,7,583,569
pdf-print-n7m5-n1000-ft_best,aocp_ms_eval,vieac_8056v,673,486,361,6,119,533,396
pdf-print-n7m5-n1000-ft_best,v1_aocp_ms_eval,astan_quds_5643,3823,871,242,74,555,3118,738
pdf-print-n7m5-n1000-ft_best,v1_aocp_ms_eval,bl_arundel_or_41,1108,443,165,101,177,850,226
pdf-print-n7m5-n1000-ft_best,v1_aocp_ms_eval,bnf_supplement_turc_984,1349,596,263,70,263,1088,448
pdf-print-n7m5-n1000-ft_best,v1_aocp_ms_eval,bsb_cod_arab_1071,839,242,64,28,150,692,192
pdf-print-n7m5-n1000-ft_best,v1_aocp_ms_eval,bsb_cod_arab_463,2480,116,37,32,47,2053,69
pdf-print-n7m5-n1000-ft_best,v1_aocp_ms_eval,chester_beatty_ar_3838,820,329,139,17,173,666,269
pdf-print-n7m5-n1000-ft_best,v1_aocp_ms_eval,columbia_ms_or_150,1171,244,127,57,60,957,139
pdf-print-n7m5-n1000-ft_best,v1_aocp_ms_eval,forschungsbibliothek_gotha_ms_orient_a_102,1873,480,202,56,222,1547,395
pdf-print-n7m5-n1000-ft_best,v1_aocp_ms_eval,gotha_ms_orient_a_1632,1063,148,38,21,89,902,120
pdf-print-n7m5-n1000-ft_best,v1_aocp_ms_eval,gotha_ms_orient_a_2435,669,129,33,30,66,561,89
pdf-print-n7m5-n1000-ft_best,v1_aocp_ms_eval,gotha_ms_orient_p_35,2660,773,306,113,354,2050,518
pdf-print-n7m5-n1000-ft_best,v1_aocp_ms_eval,heidelberg_cod_orient_148,671,85,26,8,51,552,67
pdf-print-n7m5-n1000-ft_best,v1_aocp_ms_eval,leiden_university_or_1094,569,159,85,20,54,469,121
pdf-print-n7m5-n1000-ft_best,v1_aocp_ms_eval,leipzig_cod_turc_104,3490,680,291,179,210,3010,468
pdf-print-n7m5-n1000-ft_best,v1_aocp_ms_eval,leipzig_vollers_110,1307,203,50,41,112,1090,153
pdf-print-n7m5-n1000-ft_best,v1_aocp_ms_eval,leipzig_vollers_226,1787,270,140,39,91,1425,123
pdf-print-n7m5-n1000-ft_best,v1_aocp_ms_eval,leipzig_vollers_393,717,65,25,14,26,601,36
pdf-print-n7m5-n1000-ft_best,v1_aocp_ms_eval,leipzig_vollers_656,967,219,101,24,94,809,177
pdf-print-n7m5-n1000-ft_best,v1_aocp_ms_eval,leipzig_vollers_659,1119,248,114,26,108,897,178
pdf-print-n7m5-n1000-ft_best,v1_aocp_ms_eval,leipzig_vollers_686,1738,160,50,26,84,1438,116
pdf-print-n7m5-n1000-ft_best,v1_aocp_ms_eval,leipzig_vollers_778,1302,211,50,34,127,1091,160
pdf-print-n7m5-n1000-ft_best,v1_aocp_ms_eval,leipzig_vollers_832,1302,361,110,63,188,1089,272
pdf-print-n7m5-n1000-ft_best,v1_aocp_ms_eval,mcgill_manuscript_40,1411,147,37,21,89,1178,121
pdf-print-n7m5-n1000-ft_best,v1_aocp_ms_eval,michigan_isl_ms_193,1743,433,222,56,155,1444,350
pdf-print-n7m5-n1000-ft_best,v1_aocp_ms_eval,michigan_isl_ms_691_1,1207,182,75,30,77,993,121
pdf-print-n7m5-n1000-ft_best,v1_aocp_ms_eval,michigan_isl_ms_943,788,115,34,19,62,652,84
pdf-print-n7m5-n1000-ft_best,v1_aocp_ms_eval,national_library_of_israel_ms_ar_497,1886,194,103,28,63,1555,147
pdf-print-n7m5-n1000-ft_best,v1_aocp_ms_eval,national_library_of_israel_ms_yah_ar_256,1071,186,81,23,82,899,149
pdf-print-n7m5-n1000-ft_best,v1_aocp_ms_eval,princeton_garrett_no_1393Yy,1158,266,111,29,126,940,182
pdf-print-n7m5-n1000-ft_best,v1_aocp_ms_eval,princeton_garrett_no_1856Y,1013,253,108,32,113,806,188
pdf-print-n7m5-n1000-ft_best,v1_aocp_ms_eval,princeton_garrett_no_302b,1203,263,79,49,135,976,180
pdf-print-n7m5-n1000-ft_best,v1_aocp_ms_eval,princeton_garrett_no_556h,1809,389,96,81,212,1484,278
pdf-print-n7m5-n1000-ft_best,v1_aocp_ms_eval,princeton_garrett_no_900h,1177,212,87,18,107,942,165
pdf-print-n7m5-n1000-ft_best,v1_aocp_ms_eval,princeton_new_series_no_1010,1521,572,227,79,266,1246,437
pdf-print-n7m5-n1000-ft_best,v1_aocp_ms_eval,princeton_new_series_no_1537,1239,211,105,29,77,1015,160
pdf-print-n7m5-n1000-ft_best,v1_aocp_ms_eval,princeton_new_series_no_1715,1647,355,144,63,148,1351,252
pdf-print-n7m5-n1000-ft_best,v1_aocp_ms_eval,princeton_new_series_no_2030,843,139,42,24,73,709,106
pdf-print-n7m5-n1000-ft_best,v1_aocp_ms_eval,sbb_glaser_96,1768,483,150,58,275,1460,370
pdf-print-n7m5-n1000-ft_best,v1_aocp_ms_eval,sbb_sprenger_275,911,249,90,15,144,763,223
pdf-print-n7m5-n1000-ft_best,v1_aocp_ms_eval,sbzb_diez_a_quart_67,1608,392,137,69,186,1345,297
pdf-print-n7m5-n1000-ft_best,v1_aocp_ms_eval,sbzb_diez_a_quart_95,804,178,45,15,118,673,159
pdf-print-n7m5-n1000-ft_best,v1_aocp_ms_eval,sbzb_glaser_18,1677,328,117,30,181,1332,227
pdf-print-n7m5-n1000-ft_best,v1_aocp_ms_eval,sbzb_landberg_232,2088,198,58,34,106,1720,147
pdf-print-n7m5-n1000-ft_best,v1_aocp_ms_eval,sbzb_ms_or_fol_4181,2007,725,333,93,299,1608,538
pdf-print-n7m5-n1000-ft_best,v1_aocp_ms_eval,sbzb_ms_or_oct_265,1609,426,220,39,167,1302,345
pdf-print-n7m5-n1000-ft_best,v1_aocp_ms_eval,sbzb_ms_or_oct_38,1728,391,212,54,125,1377,277
pdf-print-n7m5-n1000-ft_best,v1_aocp_ms_eval,sbzb_ms_or_quart_98,1860,237,73,34,130,1544,181
pdf-print-n7m5-n1000-ft_best,v1_aocp_ms_eval,sbzb_petermann_ii_446,1584,165,64,36,65,1297,92
pdf-print-n7m5-n1000-ft_best,v1_aocp_ms_eval,sbzb_schoemann_v_5,1087,274,80,42,152,899,216
pdf-print-n7m5-n1000-ft_best,v1_aocp_ms_eval,sbzb_wetzstein_ii_1114,2236,397,150,48,199,1844,330
pdf-print-n7m5-n1000-ft_best,v1_aocp_ms_eval,sbzb_wetzstein_ii_1704,2267,312,91,76,145,1863,203
pdf-print-n7m5-n1000-ft_best,v1_aocp_ms_eval,sbzb_wetzstein_ii_289,1343,254,73,14,167,1118,214
pdf-print-n7m5-n1000-ft_best,v1_aocp_ms_eval,tubingen_ma_vi_30,1436,332,139,35,158,1169,250
pdf-print-n7m5-n1000-ft_best,v1_aocp_ms_eval,tubingen_ma_vi_42,1488,214,66,38,110,1245,153
pdf-print-n7m5-n1000-ft_best,v1_aocp_ms_eval,tubingen_ma_vi_83,2075,174,43,34,97,1724,136
pdf-print-n7m5-n1000-ft_best,v1_aocp_ms_eval,tubingen_ma_vii_132,794,205,77,38,90,637,137
pdf-print-n7m5-n1000-ft_best,v1_aocp_ms_eval,tubingen_ma_vii_72,1179,210,68,40,102,996,152
pdf-print-n7m5-n1000-ft_best,v1_aocp_ms_eval,tubingen_ma_viii_106,1361,205,88,40,77,1160,155
pdf-print-n7m5-n1000-ft_best,v1_aocp_ms_eval,tuebingen_ma_vi_141,1202,280,114,34,132,984,223
pdf-print-n7m5-nall-ft_best,acdc_mss,akdi_01707,19228,1700,492,372,836,15761,1177
pdf-print-n7m5-nall-ft_best,acdc_mss,altiparmak_efendi_hristiyanlik_ve_paul_hakkin,,,,,,,
pdf-print-n7m5-nall-ft_best,acdc_mss,bibliotheque_nationale_de_france_departement_des_manuscrits_arabe_5267,3622,545,317,75,153,2899,302
pdf-print-n7m5-nall-ft_best,acdc_mss,bibliotheque_nationale_de_france_departement_des_manuscrits_arabe_5341,14534,1871,836,397,638,11902,1104
pdf-print-n7m5-nall-ft_best,acdc_mss,bibliotheque_nationale_de_france_departement_des_manuscrits_persan_242,1992,772,406,80,286,1550,583
pdf-print-n7m5-nall-ft_best,acdc_mss,bibliotheque_nationale_de_france_departement_des_manuscrits_persan_334,2521,513,221,111,181,2039,338
pdf-print-n7m5-nall-ft_best,acdc_mss,bibliotheque_universitaire_des_langues_et_civilisations_paris_ms_ara_69,4604,1300,1083,51,166,3048,250
pdf-print-n7m5-nall-ft_best,acdc_mss,bibliotheque_universitaire_des_langues_et_civilisations_paris_ms_pers_16,3071,771,424,124,223,2437,535
